Epic,Story ID,Issue Type,Summary,Description,Acceptance Criteria,Priority,Status,Story Points,Labels,Component,Notes
NEW,HUDDL-177,Story,AI Design & Pipeline Documentation,"Comprehensive documentation of the 14-step AI Parent Concierge system.","Document covers: Steps 1-14 with inputs/outputs/dependencies; Gemini prompt templates; learning engine signal types; knowledge base data sources (NHS, Netmums, Dadsnet, HappySteps); borough AI context.",High,To Do,8,new;documentation;ai,Docs,Backlog.docx – documents: AI design; maps to services: ai_knowledge_base_service through daily_ai_refresh_service
NEW,HUDDL-178,Story,Go-to-Market Strategy Document,"GTM strategy for Huddl Connect launch.","Document covers: target market, launch boroughs, marketing channels, referral/viral loop, service provider acquisition strategy, growth metrics, competitive positioning vs Nextdoor/Facebook Groups.",High,To Do,5,new;documentation;gtm;strategy,Docs,Backlog.docx – documents: go-to-market
NEW,HUDDL-179,Story,Investor Pitch Deck,"Slide deck for seed/pre-seed fundraising.","Deck covers: problem, solution, market size (UK parents 700K births/year), traction, product demo slides, AI differentiation, business model (freemium + service provider), team, ask.",High,To Do,5,new;documentation;pitch;fundraising,Docs,Backlog.docx – documents: pitch deck
NEW,HUDDL-180,Story,User Personas Document,"Formal user persona definitions for product and marketing use.","Minimum 4 personas created (expecting parent, new parent 0-12m, toddler parent, service provider); each includes: demographics, goals, pain points, app usage patterns, emotional arc; aligned with JourneyMapScreen data.",Medium,To Do,3,new;documentation;ux;personas,Docs,Backlog.docx – documents: personas; align with lib/models/user_journey_map.dart existing data
NEW,HUDDL-181,Story,Use Case Document,"Detailed use-case specifications for all major app flows.","Use cases cover: user registration, group chat, marketplace listing, service provider enquiry, AI copilot session, subscription upgrade, account deletion; format: actor / precondition / main flow / alt flows / postcondition.",Medium,To Do,5,new;documentation;ux;use-cases,Docs,Backlog.docx – documents: use-case
NEW,HUDDL-182,Story,Real SMS OTP Integration (Twilio or Vonage),"Replace client-side OTP generation with real SMS delivery via Twilio or Vonage.","OTPService.sendOTP() calls Twilio/Vonage API to deliver SMS; OTP generated server-side (Firebase Cloud Function); 5-minute expiry; max 3 attempts enforced server-side.",High,To Do,8,new;auth;otp;sms,Auth,"TODO in lib/services/otp_service.dart line 38 – replace with real SMS API. Required for production launch. Options: Twilio Verify, Vonage Verify"
NEW,HUDDL-183,Story,Production Stripe Price IDs Configuration,"Replace placeholder Stripe price IDs with real production price IDs.","Stripe products created in Stripe Dashboard; price IDs for huddl_neighbour_monthly/annual and huddl_circle_monthly/annual configured in payment_service.dart; webhook endpoint for subscription events set up.",High,To Do,3,new;payments;stripe;production,Subscription,"TODO in lib/services/payment_service.dart lines 171-174 – replace placeholder price_neighbour_monthly etc. with real Stripe Price IDs"
NEW,HUDDL-184,Story,App Store Connect & Google Play Console Setup,"Configure app listings on both stores for production release.","Apple App Store Connect: app created, screenshots uploaded, metadata, privacy nutrition label, TestFlight build; Google Play Console: app created, store listing, signed APK/AAB uploaded.",High,To Do,13,new;release;appstore;playstore,Release,Required before public launch
NEW,HUDDL-185,Story,Firebase Push Notifications – Full Implementation,"Complete FCM push notification delivery for group messages, DMs, events, and announcements.","FCM token registered via BackendApiService; Cloud Function triggers on new Firestore messages; push delivered to device; deep link opens correct screen.",High,To Do,8,new;notifications;fcm;firebase,Infrastructure,"backend_api_service.dart has FCM token registration – requires Firebase Cloud Functions and server-side trigger implementation"
NEW,HUDDL-186,Story,Content Reporting Feature (In-App),"Users can report inappropriate messages, listings, or profiles.","Report button on messages, listings, and profiles; ReportService captures: reporter ID, reported item ID, category, description; Firestore reports collection; admin notified.",High,To Do,5,new;safety;moderation;reporting,Groups,Critical for App Store approval and safeguarding compliance
NEW,HUDDL-187,Story,Admin / Moderation Dashboard (Internal Tool),"Internal web dashboard for moderating reported content and managing users.","Dashboard shows: reported items with context; approve/remove/warn/ban actions; ban list management; borough analytics overview; subscription stats.",High,To Do,13,new;admin;moderation;internal,Infrastructure,Required for compliance item 12 (moderation tooling from Backlog.docx)
NEW,HUDDL-188,Story,Service Provider DBS Check Verification Flow,"Verify DBS certificate numbers for service provider listings.","DBS check field in provider onboarding; manual verification step (team reviews certificate); verified badge shown on listing; periodic re-check reminder at 12 months.",High,To Do,8,new;service-provider;safety;trust,Marketplace,Critical for parent trust in service provider feature
NEW,HUDDL-189,Story,Regression Testing Suite – Remove Dummy Data Verification,"Full QA regression pass to confirm all dummy/test data is removed and all flows behave correctly.","No hardcoded names (Lucy, Emma, James, Anna, Kate, Sophie) in any screen; group chat starts empty for new groups; DMs load real contacts only; search returns only real messages.",High,In Progress,5,bug;testing;regression,QA,"In-progress per conversation history. Files to verify: group_chat_screen.dart, groups_screen.dart, dm_chat_screen.dart, group_members_screen.dart, events/event_detail_screen.dart"
NEW,HUDDL-190,Story,RevGlue Affiliate Integration – Offers/Deals Section,"Integrate RevGlue affiliate API to power real deals and cashback offers for parents.","RevGlue API connected; AiOffersService.fetchDeals() returns real offers; offers filtered by relevance (child age, interests); click-through tracking; affiliate disclosure shown.",Medium,To Do,5,new;marketplace;offers;affiliate,Marketplace,lib/services/revglue_service.dart – RevGlueService already scaffolded; requires live API credentials
NEW,HUDDL-191,Story,Offers Screen (Dedicated Tab),"Dedicated screen or tab for deals, coupons, and affiliate offers.","Offers accessible from main navigation or Marketplace tab; deals displayed by category; AI-ranked by child age relevance; RevGlue powered; affiliate disclosure prominent.",Medium,To Do,5,new;marketplace;offers,Marketplace,lib/screens/offers/ directory exists but is empty – needs implementation
NEW,HUDDL-192,Story,Borough Migration Service – User Borough Update Flow,"Allow users to update their borough if they move location.","BoroughMigrationService handles postcode change: updates user Firestore profile; re-scopes all borough data; removes old borough cache; joins new borough default groups.",Medium,To Do,5,new;borough;profile;gdpr,Profile,lib/utils/borough_migration_service.dart – BoroughMigrationService exists; needs full UI integration in profile_screen.dart
NEW,HUDDL-193,Story,Gemini API Key Management & Rate Limiting in Production,"Ensure Gemini API keys are securely managed and rate limits handled gracefully.","Gemini API key stored in Firebase Remote Config (not hardcoded); rate limit (429) handled with user-friendly message; daily request budget tracked per user tier.",High,To Do,5,new;ai;security;production,AI,lib/config/gemini_config.dart currently configured; review for production hardening
NEW,HUDDL-194,Story,iOS SIGTRAP Crash Fix Verification Post Firebase Upgrade,"Verify Firebase iOS SDK version lock before upgrading any Firebase packages.","Before any firebase_core upgrade above 3.1.0: test on iOS 18 device for verifyPhoneNumber SIGTRAP; only upgrade when FirebaseAuth 11.x confirms fix.",High,To Do,2,new;ios;firebase;crash,Infrastructure,"CRITICAL comment in pubspec.yaml: 'DO NOT upgrade any of these without verifying the iOS pod version first.' firebase_auth 5.1.0 + firebase_core 3.1.0 = Firebase iOS SDK 10.27.0"
